gene,id
Gm21470,108168665
Gm21117,108168594
Gm21477,108168559
Gm20884,108168588
Gm21387,108168619
Gm21396,108168539
Gm20906,100042201
Gm20920,100861691
Gm20920,108168558
Gm21245,100861821
Gm21249,108168660
Gm21287,108168654
Gm21258,100861839
Gm21268,108168631
Gm21275,108168598
Gm21285,108168648
Gm20747,434960
Gm20747,100041284
Gm20747,100862371
Gm20747,108168629
Gm20929,100042578
Gm47283,170942
Gm20927,108168602
Gm20930,108168568
Gm20931,100042594
Gm21340,108168575
Gm20913,108168569
Sly,382301
Gm21943,434935
Gm21943,108168625
Gm21943,108168634
Gm21943,108168635
Gm21943,108168659
Gm21943,108168661
Gm21943,108168663
Gm21943,108168664
Gm28326,102635519
Gm20871,100041346
Gm21489,100042079
Gm21573,108168634
Gm20803,100041631
Gm20803,108168596
Gm20803,115489289
Gm20804,108168550
Gm21518,108168520
Gm21518,108168524
Gm21518,108168532
Gm21518,108168595
Gm20823,100040031
Gm20823,108168570
Gm20823,108168660
Gm21530,108168521
Gm21617,108168543
Gm21627,108168557
Gm21634,108168647
Gm20885,108168593
Gm21654,108168589
Gm20882,108168618
Gm20907,100042268
Gm20908,100042279
Gm20908,100861691
Gm20921,100042475
Gm21171,108168595
Gm20924,108168660
Gm20924,108168662
Gm20736,380994
Gm20936,108168630
Gm20934,100042669
Gm20933,108168650
Gm20852,100040786
Gm20852,108168575
Ssty2,70009
Ssty2,100861817
Ssty2,108168622
Gm29000,75204
Gm21114,108168597
Gm21794,108168591
Gm20874,108168524
Gm21806,108168587
Gm20935,108168632
Gm20937,108168524
Gm20937,108168525
Gm20937,108168532
Gm20937,108168595
Gm21065,108168622
Gm21366,100861973
Gm21661,108168586
Gm20925,108168581
Gm20926,108168652
Gm29740,101055902
Gm20840,108168599
Gm20809,100039614
Gm20809,108168580
Gm20809,108168583
Gm20809,108168584
Gm20809,108168585
Gm20809,108168586
Gm20809,108168602
Gm20809,108168603
Gm20809,108168604
Gm20809,108168605
Gm20809,108168606
Gm20809,108168607
Gm20809,108168610
Gm20809,108168611
Gm20809,108168666
Gm20809,108168667
Gm20809,108168668
Gm20809,108168670
Gm20809,118568459
Gm21412,108168584
Gm21427,108168583
Gm21443,108168585
Gm20895,108168626
Gm20890,108168552
Gm28247,118568461
Gm20892,108168541
Gm21476,108168627
